good	burger	[3311, 4195, 6321, 14574, 16387, 21705, 22218, 15884, 20213, 215, 792, 1063, 2560, 2798, 2799, 3247, 3488, 3790, 3804, 4116, 4698, 5318, 5924, 6720, 7123, 7168, 7183, 7298, 7707, 7708, 8197, 8209, 8243, 8550, 8576, 8954, 9559, 9798, 10591, 10875, 11833, 12087, 12224, 12235, 12390, 12476, 12726, 12755, 12830, 13270, 13405, 13413, 13669, 14305, 14328, 14560, 14624, 14811, 15735, 16401, 16466, 16490, 17325, 17339, 17522, 17835, 17849, 18215, 18640, 18792, 19255, 19294, 20824, 21051, 21055, 21127, 21131, 21193, 21317, 21341, 21710, 21876, 21907, 22156, 17118, 17311, 18268, 1634, 8508, 9790, 12701, 16796, 21596]
spicy	paste	[2096, 2341, 2439, 3109, 5942, 6422, 7083, 11833, 17267, 19418, 19517, 26424, 31813, 35653, 19342]
tonkotsu	soup	[13616, 14706, 14883, 16081, 28506, 4832, 10586, 16717, 27090, 29832, 31039, 32682, 37287]
high	prices	[5733, 14881, 6764, 10880, 29839, 46821, 18684, 5134, 11382, 16529, 21182, 21820, 26142, 26778, 1789, 6435, 14537, 5150, 4140, 4655, 13448, 14742, 16224, 20378, 22012, 22726, 16767, 22115, 6136, 10836, 18648, 11787, 18318]
love	pizza	[6125, 19204, 49976, 1372, 1512, 1555, 2289, 4639, 4923, 7932, 7939, 8452, 8932]
cheese	bread	[17170, 20915, 11106, 11494, 11703, 12568, 3312, 3478, 10692, 15314, 17399, 25387]
open	late	[18541, 8836, 21243, 22430, 49727, 3422, 3739, 4954, 9385, 11974, 14198, 14428, 20310, 22549, 23388, 24095, 27580, 29957, 30420, 30848, 31083, 391, 1415, 1481, 2124, 2160, 2379, 3486, 3504, 3821, 3858, 4580, 4676, 5217, 5559, 5721, 6325, 6555, 6678, 27924, 2559, 9957, 22549, 6888, 7091, 8397, 9416, 11368, 13051]
friendly	staff	[3551, 4657, 5975, 6104, 15286, 19753, 321, 1561, 2134, 3946, 5293, 6035, 9994, 17112, 18692, 19572, 22692, 23694, 24842, 31412, 32014, 2745, 6632, 14179, 14204, 22626, 27686, 31579, 31840, 34952, 40073, 48665, 4070, 4211, 14143, 16228, 16288, 17129, 18251, 24942, 24991, 26164, 27443, 27607, 29804, 403, 1219, 4949, 6515, 11163, 11899, 12839, 13898, 13997, 14091, 14486, 14987, 15224, 16449, 16653, 17035, 20168, 20987, 21352, 21686, 22467, 22579, 22690, 239, 1603, 3895, 5141, 7072, 7521, 108, 6152, 6379, 7688, 8623, 15238, 16330, 17552, 18072, 19647, 20939, 23116, 27551, 29266, 4922, 6924, 8673, 9667, 10746, 15449, 15991, 16222, 16813, 18079, 22451, 2595, 3220, 8851, 10219, 13876, 14500, 16129, 17423, 17802, 18299, 19766, 20683, 20878, 21411, 22336, 24283, 25897, 28121, 34141, 34527, 35718, 47, 2054, 2777, 7841, 10286, 13855, 14371, 15174, 18022, 711, 1123, 2191, 2600, 3181, 3265, 3526, 4567, 5026, 5140, 5614, 7635, 1365, 3452, 3715, 7433, 1615, 2145, 5606, 7042, 9363, 10225, 10503, 13559, 13697, 14009, 14202, 15978, 16007, 16385, 19607, 19631, 21314, 24357, 26598, 30201, 30822, 31210, 32775, 33562, 33810, 34193, 1712, 11155, 14362, 18375, 8860, 13030, 14014, 2966, 3887, 4758, 5406, 6416, 7056, 7573, 8559, 9424, 9449, 12407, 12594, 12974, 13209, 14182, 239, 1490, 1825, 3169, 4037, 5592, 6556, 6659, 9670, 3933, 8994, 12506, 2555, 11473, 11534, 12333, 16682, 19576, 20821, 22104, 24583, 27505, 6473, 7151, 11331, 11856, 12783, 21904, 8132, 636, 1049, 2928, 6165, 7786, 8728, 10230, 10462, 9917, 14719, 15022, 16204, 16232, 19201, 19616, 22184, 17763, 23572, 40832, 13294, 1267, 12474, 27161, 23045, 10485]
kbbq	places	[74, 204, 521, 1292, 1460, 1852, 2027, 2390, 3159, 3426, 3519, 3608, 4579, 5327, 6784, 7194, 7718, 7928]
tangy	sauce	[7423, 10286, 16257, 16820, 6759, 35886, 12741, 6755, 1228, 3085, 7396, 11847, 12296, 14383, 15998, 17656, 17957, 23024, 24283, 24312, 25951, 27234, 29009, 30595, 31226, 32756, 34986, 36344, 3900, 5579, 8101, 9373, 5601, 9043, 9066, 11978, 18470, 5809, 7941, 826, 13667, 15553]
